i,m,g,N,a,m,e
M,e,a,n
M,e,a,n
M,e,a,n
V,a,r
V,a,r
V,a,r
181023-19_20181023_131123_Color_R_001.png,0.6360347972196692,0.37367003197763476,0.23814794503006279,0.34696169819347433,0.22831284624393153,0.1563782550295727
181023-19_20181023_131255_Color_L_001.png,0.5850641437605316,0.3257518992704504,0.19577397365196078,0.3219845599877322,0.19499521977625078,0.12308096386379298
181026-002_20181026_092353_Color_L_001.png,0.5192312053605622,0.26791890462239587,0.14736151601753986,0.30055035623162274,0.17128072023522628,0.09471088212302213
181026-002_20181026_141053_Color_R_001.png,0.4587507958505668,0.23440248077990963,0.13456717098460477,0.2658470230931633,0.1567926959577267,0.09231824564099687
181026-003_20181026_093416_Color_R_001.png,0.39475366928998157,0.19397823857326135,0.11020735198376226,0.23443638693138846,0.12900903785853682,0.06599399723622414
181026-003_20181026_093452_Color_L_001.png,0.38698742436427697,0.19641312243891695,0.11094862994025738,0.23179665189019974,0.13980814915587705,0.07624106650484073
181030-031_20181030_165828_Color_R_001.png,0.47412842395258886,0.27564541685814953,0.16944823919558055,0.2586783552944635,0.16537066904178713,0.10889722031091428
181030-031_20181031_094228_Color_L_001.png,0.48808098587335325,0.2717906129126456,0.16796213785807296,0.2733541861689707,0.169268130980978,0.10934882399787395
181030-031_20181031_094420_Color_R_001.png,0.467333251354741,0.23667711744121475,0.13765356026443776,0.26028297134237693,0.14436158113576164,0.08294819073243938
181030-08_20181030_124725_Color_L_001.png,0.3175198424096201,0.15708366842830881,0.0925466948864507,0.19330448913432657,0.1060802513614549,0.06185702145160706
181030-08_20181030_124909_Color_R_001.png,0.3154371672985601,0.17445855234183513,0.10211266910328584,0.20101110153170465,0.13533345333315197,0.08017004436328388
181102-009_20181102_105439_Color_R_001.png,0.5080018884995405,0.27521517884497554,0.18781074075137866,0.2838447312945002,0.15946547825648535,0.10621244040363648
181109-006_20181109_102651_Color_L_001.png,0.3564752316942403,0.29928663665173094,0.23064714319565716,0.1929349663305976,0.17545874727670974,0.13684457114603263
